,PART_ID,TYPE,MANUFACTURER,YEAR,QUANTITY,PRICE,SUBTOTAL_INVENTORY,ACTIVE
29,PART0030,tire,Toyota,2013,45.0,412.19,18548.55,1.0
30,PART0031,tire,Honda,2007,52.0,291.96,15181.919999999998,1.0
31,PART0032,suspension,Mercedes,2017,74.0,162.97,12059.78,
32,PART0033,suspension,Toyota,2019,79.0,90.51,7150.29,
33,PART0034,engine,Honda,2011,8.0,106.2,849.6,
34,PART0035,suspension,Mercedes,2001,35.0,422.02,14770.699999999999,
35,PART0036,engine,Ford,2013,70.0,239.65,16775.5,
36,PART0037,tire,Toyota,2006,35.0,190.56,6669.6,
37,PART0038,suspension,Volkswagen,2022,26.0,217.02,5642.52,0.0
38,PART0039,tire,Ford,2022,48.0,404.14,19398.72,1.0
39,PART0040,brake,Audi,2015,5.0,57.15,285.75,1.0
40,PART0041,battery,Toyota,2016,33.0,140.51,4636.83,0.0
41,PART0042,engine,BMW,2000,16.0,175.92,2814.72,0.0
42,PART0043,tire,BMW,2017,43.0,293.51,12620.93,1.0
43,PART0044,suspension,Audi,2008,28.0,123.34,3453.52,1.0
44,PART0045,suspension,Honda,2002,98.0,94.49,9260.019999999999,0.0
45,PART0046,suspension,Volkswagen,2015,94.0,292.72,27515.680000000004,
46,PART0047,engine,Honda,2015,58.0,398.05,23086.9,0.0
47,PART0048,transmission,Mercedes,2007,12.0,217.15,2605.8,0.0
48,PART0049,transmission,BMW,2006,85.0,55.53,4720.05,1.0
49,PART0050,tire,Audi,2019,16.0,303.27,4852.32,1.0
50,PART0051,transmission,Ford,2006,83.0,412.59,34244.97,1.0
51,PART0052,brake,Toyota,2021,17.0,305.5,5193.5,1.0
52,PART0053,transmission,Honda,2003,80.0,123.04,9843.2,
53,PART0054,engine,BMW,2015,95.0,363.12,34496.4,1.0
54,PART0055,tire,BMW,2018,87.0,81.35,7077.45,
55,PART0056,tire,Volkswagen,2018,2.0,295.38,590.76,1.0
56,PART0057,tire,BMW,2006,5.0,483.5,2417.5,
57,PART0058,engine,Mercedes,2015,17.0,163.43,2778.31,
58,PART0059,transmission,BMW,2018,50.0,271.06,13553.0,0.0
59,PART0060,tire,BMW,2022,33.0,279.08,9209.64,0.0
60,PART0061,engine,Mercedes,2000,88.0,341.94,30090.72,1.0
61,PART0062,engine,Toyota,2014,27.0,128.92,3480.8399999999997,0.0
62,PART0063,brake,Audi,2013,18.0,445.91,8026.38,
63,PART0064,battery,BMW,2020,27.0,323.11,8723.970000000001,1.0
64,PART0065,battery,BMW,2004,54.0,320.45,17304.3,0.0
65,PART0066,suspension,Audi,2009,18.0,147.73,2659.14,1.0
66,PART0067,suspension,Toyota,2009,79.0,248.5,19631.5,0.0
67,PART0068,brake,Volkswagen,2000,34.0,325.97,11082.980000000001,
68,PART0069,suspension,BMW,2021,79.0,134.51,10626.289999999999,0.0
69,PART0070,battery,Mercedes,2010,53.0,198.17,10503.01,0.0
70,PART0071,battery,Toyota,2010,72.0,435.98,31390.56,0.0
71,PART0072,engine,Volkswagen,2008,62.0,272.42,16890.04,0.0
72,PART0073,tire,Toyota,2018,24.0,270.51,6492.24,
73,PART0074,engine,Ford,2007,62.0,279.2,17310.399999999998,
74,PART0075,battery,Honda,2002,92.0,229.21,21087.32,0.0
75,PART0076,engine,Mercedes,2002,8.0,429.99,3439.92,1.0
76,PART0077,transmission,Toyota,2022,29.0,379.12,10994.48,1.0
77,PART0078,engine,Ford,2019,63.0,473.04,29801.52,
78,PART0079,battery,BMW,2018,31.0,208.01,6448.3099999999995,0.0
79,PART0080,transmission,Ford,2002,4.0,349.62,1398.48,0.0
80,PART0081,suspension,Volkswagen,2014,26.0,120.09,3122.34,
81,PART0082,brake,Audi,2017,23.0,80.18,1844.14,
82,PART0083,suspension,Audi,2017,95.0,212.76,20212.2,1.0
83,PART0084,battery,Audi,2001,51.0,110.65,5643.150000000001,1.0
84,PART0085,suspension,Ford,2016,95.0,312.51,29688.45,
85,PART0086,battery,BMW,2016,50.0,357.24,17862.0,1.0
86,PART0087,suspension,Ford,2002,37.0,115.6,4277.2,
87,PART0088,brake,Toyota,2016,32.0,244.26,7816.32,0.0
88,PART0089,engine,Audi,2014,99.0,341.52,33810.479999999996,0.0
89,PART0090,brake,Ford,2000,81.0,118.91,9631.71,0.0
90,PART0091,suspension,BMW,2012,5.0,399.89,1999.4499999999998,1.0
91,PART0092,transmission,Audi,2008,97.0,482.31,46784.07,0.0
92,PART0093,transmission,Volkswagen,2018,59.0,260.7,15381.3,0.0
93,PART0094,brake,Toyota,2018,40.0,217.39,8695.599999999999,1.0
94,PART0095,brake,Ford,2000,98.0,366.62,35928.76,1.0
95,PART0096,engine,Ford,2004,3.0,405.99,1217.97,
96,PART0097,transmission,Mercedes,2015,56.0,418.47,23434.32,0.0
97,PART0098,tire,Audi,2011,88.0,437.9,38535.2,
98,PART0099,transmission,Mercedes,2021,70.0,81.14,5679.8,
99,PART0100,battery,Honda,2007,34.0,331.1,11257.400000000001,1.0
100,PART0101,transmission,Honda,2009,12.0,106.82,1281.84,0.0
101,PART0102,brake,Volkswagen,2009,21.0,164.81,3461.01,0.0
102,PART0103,transmission,Toyota,2000,38.0,64.01,2432.38,1.0
103,PART0104,transmission,Volkswagen,2003,25.0,110.39,2759.75,0.0
104,PART0105,transmission,Honda,2016,25.0,61.5,1537.5,
105,PART0106,engine,BMW,2004,98.0,279.74,27414.52,0.0
106,PART0107,tire,Volkswagen,2019,23.0,200.82,4618.86,0.0
107,PART0108,battery,BMW,2005,46.0,78.03,3589.38,1.0
108,PART0109,transmission,Toyota,2003,68.0,466.69,31734.92,1.0
109,PART0110,transmission,Ford,2006,4.0,401.53,1606.12,1.0
110,PART0111,battery,Audi,2001,51.0,440.79,22480.29,0.0
111,PART0112,transmission,BMW,2000,41.0,182.75,7492.75,0.0
112,PART0113,transmission,Audi,2016,33.0,426.84,14085.72,0.0
113,PART0114,engine,Mercedes,2009,39.0,372.29,14519.310000000001,1.0
114,PART0115,tire,Ford,2013,97.0,362.23,35136.310000000005,1.0
115,PART0116,engine,Toyota,2002,89.0,96.47,8585.83,
116,PART0117,engine,Mercedes,2005,60.0,358.21,21492.6,0.0
117,PART0118,battery,Toyota,2015,29.0,220.76,6402.04,
118,PART0119,engine,Toyota,2009,60.0,213.81,12828.6,1.0
119,PART0120,brake,Mercedes,2000,38.0,58.41,2219.58,
120,PART0121,brake,Toyota,2012,94.0,480.15,45134.1,1.0
121,PART0122,brake,Mercedes,2006,55.0,462.8,25454.0,1.0
122,PART0123,transmission,Mercedes,2016,86.0,164.26,14126.359999999999,1.0
123,PART0124,suspension,Ford,2001,42.0,395.62,16616.04,0.0
124,PART0125,suspension,Honda,2013,16.0,422.68,6762.88,
125,PART0126,battery,Toyota,2019,11.0,58.49,643.39,1.0
126,PART0127,tire,Mercedes,2016,80.0,126.13,10090.4,
127,PART0128,battery,Toyota,2015,21.0,319.03,6699.629999999999,1.0
128,PART0129,engine,Toyota,2017,73.0,70.99,5182.2699999999995,0.0
129,PART0130,suspension,Mercedes,2022,52.0,379.28,19722.559999999998,0.0
130,PART0131,engine,Audi,2001,15.0,377.37,5660.55,0.0
131,PART0132,brake,Audi,2014,69.0,443.18,30579.420000000002,0.0
132,PART0133,battery,Volkswagen,2013,13.0,213.7,2778.1,
133,PART0134,battery,Toyota,2015,28.0,338.17,9468.76,1.0
134,PART0135,brake,Honda,2005,11.0,172.93,1902.23,0.0
135,PART0136,transmission,Mercedes,2012,27.0,336.94,9097.38,1.0
136,PART0137,tire,Audi,2019,44.0,331.04,14565.76,0.0
137,PART0138,brake,Toyota,2010,94.0,136.73,12852.619999999999,0.0
138,PART0139,battery,Ford,2010,56.0,342.45,19177.2,1.0
139,PART0140,engine,Audi,2009,14.0,397.71,5567.94,
140,PART0141,brake,Audi,2012,5.0,111.86,559.3,
141,PART0142,transmission,Audi,2013,69.0,423.49,29220.81,1.0
142,PART0143,brake,Ford,2012,66.0,74.37,4908.42,
143,PART0144,suspension,Mercedes,2015,58.0,348.92,20237.36,0.0
144,PART0145,tire,Mercedes,2003,89.0,306.07,27240.23,1.0
145,PART0146,engine,Audi,2020,74.0,290.46,21494.039999999997,
146,PART0147,suspension,Ford,2007,26.0,444.59,11559.34,
147,PART0148,brake,Mercedes,2006,98.0,365.34,35803.32,0.0
148,PART0149,brake,Mercedes,2016,35.0,353.57,12374.949999999999,
149,PART0150,suspension,Mercedes,2005,35.0,338.42,11844.7,1.0
150,PART0151,transmission,BMW,2010,28.0,138.29,3872.12,1.0
151,PART0152,tire,Ford,2012,89.0,363.52,32353.28,
152,PART0153,engine,Mercedes,2008,95.0,376.67,35783.65,0.0
153,PART0154,suspension,Toyota,2009,89.0,402.32,35806.479999999996,
154,PART0155,brake,Toyota,2007,22.0,356.5,7843.0,0.0
155,PART0156,brake,Ford,2012,82.0,224.87,18439.34,
156,PART0157,suspension,Honda,2020,72.0,384.65,27694.8,0.0
157,PART0158,engine,Volkswagen,2005,64.0,110.37,7063.68,1.0
158,PART0159,brake,BMW,2009,96.0,132.67,12736.32,
159,PART0160,transmission,Toyota,2008,93.0,72.03,6698.79,1.0
160,PART0161,engine,Toyota,2002,97.0,259.73,25193.81,
161,PART0162,brake,Mercedes,2016,83.0,489.51,40629.33,
162,PART0163,engine,Volkswagen,2002,8.0,231.6,1852.8,
163,PART0164,engine,Volkswagen,2014,91.0,243.0,22113.0,1.0
164,PART0165,suspension,Ford,2006,98.0,115.06,11275.880000000001,
165,PART0166,suspension,Honda,2009,21.0,402.9,8460.9,0.0
166,PART0167,suspension,Volkswagen,2009,52.0,199.18,10357.36,
167,PART0168,brake,BMW,2021,96.0,219.72,21093.12,
168,PART0169,transmission,Ford,2012,53.0,334.76,17742.28,0.0
169,PART0170,suspension,Ford,2000,13.0,61.07,793.91,
170,PART0171,brake,Mercedes,2000,17.0,192.06,3265.02,1.0
171,PART0172,transmission,Mercedes,2016,53.0,263.73,13977.69,0.0
172,PART0173,suspension,Volkswagen,2002,81.0,363.05,29407.05,
173,PART0174,tire,Ford,2005,2.0,72.54,145.08,1.0
174,PART0175,battery,Honda,2010,44.0,468.22,20601.68,0.0
175,PART0176,suspension,Honda,2018,80.0,254.54,20363.2,0.0
176,PART0177,transmission,Mercedes,2010,45.0,299.67,13485.150000000001,0.0
177,PART0178,brake,BMW,2009,51.0,110.69,5645.19,1.0
178,PART0179,tire,Honda,2006,80.0,480.4,38432.0,1.0
179,PART0180,suspension,Ford,2021,33.0,137.5,4537.5,1.0
180,PART0181,transmission,Toyota,2001,91.0,251.94,22926.54,
181,PART0182,battery,Volkswagen,2002,33.0,341.48,11268.84,
182,PART0183,suspension,BMW,2017,68.0,428.57,29142.76,1.0
183,PART0184,suspension,Audi,2000,35.0,336.55,11779.25,1.0
184,PART0185,tire,Audi,2008,23.0,306.64,7052.719999999999,1.0
185,PART0186,brake,Toyota,2019,46.0,319.48,14696.080000000002,
186,PART0187,brake,Volkswagen,2018,7.0,499.97,3499.79,0.0
187,PART0188,tire,Volkswagen,2001,4.0,497.53,1990.12,1.0
188,PART0189,suspension,Audi,2003,74.0,446.48,33039.520000000004,0.0
189,PART0190,engine,Toyota,2016,50.0,428.82,21441.0,1.0
190,PART0191,transmission,Audi,2015,24.0,86.31,2071.44,1.0
191,PART0192,transmission,BMW,2011,83.0,78.22,6492.26,0.0
192,PART0193,engine,Toyota,2014,56.0,85.8,4804.8,0.0
193,PART0194,brake,Volkswagen,2012,37.0,498.6,18448.2,0.0
194,PART0195,transmission,BMW,2000,68.0,485.65,33024.2,
195,PART0196,engine,Toyota,2014,67.0,121.59,8146.530000000001,1.0
196,PART0197,suspension,Honda,2005,56.0,202.76,11354.56,1.0
197,PART0198,suspension,Ford,2009,13.0,171.73,2232.49,
198,PART0199,battery,Honda,2016,12.0,487.24,5846.88,0.0
199,PART0200,engine,Audi,2010,9.0,361.05,3249.4500000000003,
200,PART0201,brake,Mercedes,2011,99.0,159.33,15773.670000000002,1.0
201,PART0202,battery,Audi,2018,23.0,93.11,2141.53,1.0
202,PART0203,battery,Honda,2014,45.0,462.46,20810.7,0.0
203,PART0204,engine,Ford,2008,66.0,476.47,31447.02,0.0
204,PART0205,brake,BMW,2022,58.0,447.14,25934.12,0.0
205,PART0206,suspension,Ford,2001,60.0,186.8,11208.0,
206,PART0207,brake,Volkswagen,2007,1.0,494.02,494.02,
207,PART0208,brake,Ford,2009,55.0,159.18,8754.9,0.0
208,PART0209,suspension,Honda,2014,37.0,209.88,7765.5599999999995,1.0
209,PART0210,brake,Honda,2016,84.0,166.04,13947.359999999999,0.0
210,PART0211,battery,Volkswagen,2002,66.0,133.78,8829.48,
211,PART0212,transmission,BMW,2000,58.0,434.35,25192.300000000003,1.0
212,PART0213,engine,Honda,2002,31.0,78.06,2419.86,
213,PART0214,transmission,BMW,2012,26.0,476.23,12381.98,0.0
214,PART0215,battery,Honda,2010,30.0,191.55,5746.5,
215,PART0216,transmission,Honda,2010,83.0,154.31,12807.73,1.0
216,PART0217,transmission,BMW,2011,63.0,281.32,17723.16,
217,PART0218,tire,Mercedes,2008,95.0,327.85,31145.750000000004,1.0
218,PART0219,engine,BMW,2006,69.0,284.79,19650.510000000002,0.0
219,PART0220,engine,Ford,2015,26.0,163.79,4258.54,
220,PART0221,tire,Honda,2014,71.0,446.8,31722.8,1.0
221,PART0222,battery,Ford,2015,21.0,158.42,3326.8199999999997,0.0
222,PART0223,tire,Toyota,2008,58.0,371.82,21565.56,
223,PART0224,tire,Volkswagen,2020,4.0,427.85,1711.4,
224,PART0225,engine,Mercedes,2011,87.0,133.46,11611.02,1.0
225,PART0226,battery,Honda,2015,37.0,271.11,10031.07,0.0
226,PART0227,battery,BMW,2002,5.0,214.51,1072.55,0.0
227,PART0228,transmission,Ford,2022,39.0,281.44,10976.16,0.0
228,PART0229,brake,Audi,2012,4.0,345.41,1381.64,0.0
229,PART0230,transmission,Ford,2003,7.0,352.17,2465.19,1.0
230,PART0231,transmission,Audi,2021,62.0,154.8,9597.6,
231,PART0232,battery,Mercedes,2015,15.0,225.76,3386.3999999999996,1.0
232,PART0233,transmission,Honda,2016,41.0,323.81,13276.210000000001,1.0
233,PART0234,engine,Audi,2004,98.0,368.46,36109.079999999994,1.0
234,PART0235,battery,Mercedes,2020,1.0,496.56,496.56,0.0
235,PART0236,suspension,Honda,2012,59.0,329.4,19434.6,1.0
236,PART0237,tire,BMW,2005,41.0,222.77,9133.57,1.0
237,PART0238,brake,Ford,2001,24.0,65.51,1572.2400000000002,0.0
238,PART0239,transmission,Honda,2007,61.0,309.93,18905.73,
239,PART0240,tire,Toyota,2016,51.0,473.93,24170.43,1.0
240,PART0241,engine,Ford,2011,59.0,79.24,4675.16,0.0
241,PART0242,brake,Ford,2006,49.0,111.36,5456.64,
242,PART0243,battery,Mercedes,2016,75.0,395.28,29645.999999999996,0.0
243,PART0244,engine,Toyota,2017,9.0,304.04,2736.36,
244,PART0245,tire,BMW,2011,97.0,198.03,19208.91,1.0
245,PART0246,tire,Ford,2019,8.0,336.25,2690.0,1.0
246,PART0247,tire,Ford,2013,84.0,304.53,25580.519999999997,
247,PART0248,engine,Ford,2011,20.0,132.05,2641.0,1.0
248,PART0249,battery,Mercedes,2020,28.0,254.47,7125.16,1.0
249,PART0250,transmission,Mercedes,2017,5.0,354.22,1771.1000000000001,1.0
250,PART0251,transmission,Volkswagen,2018,39.0,388.97,15169.830000000002,
251,PART0252,battery,Toyota,2011,45.0,255.08,11478.6,1.0
252,PART0253,tire,Honda,2002,60.0,253.23,15193.8,
253,PART0254,engine,BMW,2001,35.0,216.3,7570.5,1.0
254,PART0255,engine,BMW,2010,55.0,298.92,16440.600000000002,0.0
255,PART0256,suspension,Audi,2000,84.0,94.11,7905.24,
256,PART0257,battery,Ford,2018,12.0,85.18,1022.1600000000001,0.0
257,PART0258,transmission,Toyota,2021,46.0,250.13,11505.98,0.0
258,PART0259,transmission,Audi,2019,99.0,106.13,10506.869999999999,0.0
259,PART0260,transmission,Volkswagen,2006,40.0,269.34,10773.599999999999,0.0
260,PART0261,brake,Volkswagen,2010,11.0,482.58,5308.38,0.0
261,PART0262,battery,Ford,2011,98.0,160.76,15754.48,1.0
262,PART0263,tire,Mercedes,2004,31.0,290.75,9013.25,0.0
263,PART0264,engine,Volkswagen,2013,2.0,425.83,851.66,0.0
264,PART0265,battery,Honda,2015,22.0,222.17,4887.74,
265,PART0266,battery,Honda,2003,46.0,350.15,16106.9,0.0
266,PART0267,suspension,Audi,2010,64.0,81.28,5201.92,
267,PART0268,brake,BMW,2022,22.0,119.37,2626.1400000000003,
268,PART0269,tire,Mercedes,2013,51.0,68.24,3480.24,0.0
269,PART0270,engine,Volkswagen,2016,90.0,132.46,11921.400000000001,
270,PART0271,brake,Audi,2014,98.0,407.44,39929.12,
271,PART0272,battery,Mercedes,2017,3.0,348.68,1046.04,
272,PART0273,battery,Toyota,2007,70.0,405.69,28398.3,0.0
273,PART0274,brake,Audi,2008,91.0,426.63,38823.33,
274,PART0275,brake,Honda,2021,28.0,482.25,13503.0,
275,PART0276,battery,BMW,2014,1.0,147.11,147.11,
276,PART0277,tire,Audi,2011,49.0,93.6,4586.4,0.0
277,PART0278,suspension,Audi,2013,71.0,248.4,17636.4,
278,PART0279,battery,Toyota,2015,21.0,462.39,9710.19,1.0
279,PART0280,battery,Ford,2007,83.0,310.37,25760.71,1.0
280,PART0281,battery,Mercedes,2021,24.0,55.99,1343.76,1.0
281,PART0282,brake,Honda,2012,70.0,349.79,24485.300000000003,
282,PART0283,brake,Ford,2003,72.0,316.07,22757.04,0.0
283,PART0284,suspension,Audi,2009,61.0,230.4,14054.4,
284,PART0285,tire,Volkswagen,2005,7.0,498.97,3492.79,1.0
285,PART0286,engine,Volkswagen,2015,11.0,351.15,3862.6499999999996,
286,PART0287,transmission,Honda,2019,24.0,145.43,3490.32,1.0
287,PART0288,transmission,Mercedes,2004,79.0,173.82,13731.779999999999,1.0
288,PART0289,transmission,Audi,2012,74.0,383.71,28394.539999999997,0.0
289,PART0290,transmission,Ford,2007,57.0,389.4,22195.8,0.0
290,PART0291,suspension,Toyota,2017,4.0,421.05,1684.2,1.0
291,PART0292,engine,BMW,2017,67.0,255.75,17135.25,1.0
292,PART0293,suspension,Honda,2015,34.0,296.93,10095.62,0.0
293,PART0294,suspension,Honda,2019,69.0,111.69,7706.61,0.0
294,PART0295,battery,Volkswagen,2015,90.0,493.65,44428.5,1.0
295,PART0296,tire,Audi,2003,48.0,293.87,14105.76,1.0
296,PART0297,brake,Honda,2007,34.0,137.46,4673.64,
297,PART0298,tire,BMW,2006,1.0,395.38,395.38,
298,PART0299,tire,Honda,2010,5.0,312.46,1562.3,
299,PART0300,tire,Mercedes,2013,13.0,329.74,4286.62,
300,PART0301,brake,Toyota,2005,69.0,152.66,10533.539999999999,0.0
301,PART0302,suspension,BMW,2001,88.0,337.73,29720.24,
302,PART0303,tire,Honda,2013,70.0,315.15,22060.5,1.0
303,PART0304,transmission,BMW,2016,54.0,267.24,14430.960000000001,0.0
304,PART0305,battery,Mercedes,2005,31.0,467.97,14507.070000000002,1.0
305,PART0306,tire,Audi,2009,47.0,328.23,15426.810000000001,1.0
306,PART0307,brake,Ford,2014,17.0,184.25,3132.25,1.0
307,PART0308,brake,Ford,2022,5.0,483.78,2418.8999999999996,
308,PART0309,brake,Ford,2017,2.0,467.83,935.66,
309,PART0310,transmission,Ford,2012,55.0,486.57,26761.35,1.0
310,PART0311,tire,Honda,2011,82.0,147.02,12055.640000000001,0.0
311,PART0312,battery,Audi,2014,73.0,110.46,8063.58,
312,PART0313,brake,Volkswagen,2011,49.0,60.84,2981.1600000000003,
313,PART0314,tire,Mercedes,2004,92.0,107.1,9853.199999999999,
314,PART0315,tire,Ford,2014,5.0,169.97,849.85,
315,PART0316,battery,Mercedes,2010,70.0,434.46,30412.199999999997,1.0
316,PART0317,battery,Toyota,2001,65.0,128.75,8368.75,
317,PART0318,brake,Mercedes,2001,43.0,219.26,9428.18,1.0
318,PART0319,brake,Audi,2008,86.0,390.99,33625.14,
319,PART0320,engine,Ford,2018,92.0,216.25,19895.0,
320,PART0321,tire,Honda,2015,98.0,107.5,10535.0,1.0
321,PART0322,brake,Mercedes,2007,50.0,61.92,3096.0,1.0
322,PART0323,tire,Ford,2021,39.0,349.44,13628.16,
323,PART0324,tire,Volkswagen,2017,47.0,203.71,9574.37,1.0
324,PART0325,transmission,Audi,2006,90.0,155.02,13951.800000000001,
325,PART0326,suspension,Audi,2021,17.0,281.99,4793.83,1.0
326,PART0327,tire,Ford,2010,29.0,482.94,14005.26,1.0
327,PART0328,brake,Volkswagen,2017,86.0,54.37,4675.82,1.0
328,PART0329,suspension,BMW,2004,79.0,315.92,24957.68,
329,PART0330,transmission,Ford,2017,8.0,121.41,971.28,
330,PART0331,transmission,BMW,2009,13.0,373.58,4856.54,
331,PART0332,transmission,Mercedes,2006,1.0,284.78,284.78,0.0
332,PART0333,battery,Mercedes,2012,76.0,103.4,7858.400000000001,1.0
333,PART0334,brake,Volkswagen,2009,32.0,368.08,11778.56,0.0
334,PART0335,transmission,Audi,2021,86.0,412.86,35505.96,
335,PART0336,battery,Mercedes,2018,42.0,198.93,8355.06,1.0
336,PART0337,battery,Audi,2019,24.0,128.45,3082.7999999999997,1.0
337,PART0338,battery,Audi,2008,96.0,295.03,28322.879999999997,1.0
338,PART0339,transmission,Honda,2015,50.0,470.74,23537.0,0.0
339,PART0340,transmission,Toyota,2000,7.0,498.92,3492.44,0.0
340,PART0341,engine,Mercedes,2012,75.0,343.4,25755.0,1.0
341,PART0342,brake,Audi,2017,86.0,358.73,30850.780000000002,
342,PART0343,engine,BMW,2008,10.0,475.44,4754.4,0.0
343,PART0344,battery,Audi,2008,38.0,256.35,9741.300000000001,1.0
344,PART0345,suspension,Volkswagen,2019,24.0,294.18,7060.32,1.0
345,PART0346,engine,Mercedes,2021,60.0,435.76,26145.6,
346,PART0347,tire,BMW,2012,69.0,119.97,8277.93,
347,PART0348,suspension,Ford,2021,20.0,394.71,7894.2,0.0
348,PART0349,suspension,Volkswagen,2011,46.0,218.12,10033.52,1.0
349,PART0350,engine,BMW,2021,28.0,272.79,7638.120000000001,0.0
350,PART0351,transmission,Volkswagen,2011,11.0,427.29,4700.1900000000005,0.0
351,PART0352,suspension,Volkswagen,2008,25.0,403.21,10080.25,1.0
352,PART0353,battery,Toyota,2001,83.0,389.87,32359.21,1.0
353,PART0354,brake,Audi,2021,39.0,213.74,8335.86,0.0
354,PART0355,transmission,Volkswagen,2016,40.0,489.31,19572.4,0.0
355,PART0356,tire,Honda,2002,67.0,283.39,18987.129999999997,1.0
356,PART0357,engine,BMW,2002,41.0,147.68,6054.88,0.0
357,PART0358,tire,Volkswagen,2022,72.0,324.29,23348.88,0.0
358,PART0359,tire,BMW,2006,31.0,395.29,12253.99,0.0
359,PART0360,engine,Volkswagen,2019,70.0,383.87,26870.9,0.0
360,PART0361,brake,Volkswagen,2019,51.0,57.86,2950.86,
361,PART0362,brake,Toyota,2006,79.0,485.08,38321.32,
362,PART0363,transmission,Volkswagen,2009,38.0,208.93,7939.34,0.0
363,PART0364,suspension,Honda,2010,74.0,436.3,32286.2,
364,PART0365,battery,Mercedes,2000,55.0,296.19,16290.45,0.0
365,PART0366,suspension,Ford,2000,27.0,268.87,7259.49,0.0
366,PART0367,suspension,Audi,2012,88.0,246.83,21721.04,
367,PART0368,battery,Audi,2016,66.0,434.44,28673.04,
368,PART0369,tire,Volkswagen,2004,71.0,137.9,9790.9,1.0
369,PART0370,engine,Volkswagen,2003,47.0,182.37,8571.39,0.0
370,PART0371,tire,Audi,2001,18.0,125.24,2254.3199999999997,1.0
371,PART0372,suspension,Mercedes,2004,26.0,409.1,10636.6,0.0
372,PART0373,battery,Toyota,2012,69.0,52.16,3599.04,1.0
373,PART0374,battery,Honda,2002,6.0,170.08,1020.48,0.0
374,PART0375,battery,Ford,2013,73.0,476.65,34795.45,0.0
375,PART0376,suspension,Volkswagen,2002,51.0,271.18,13830.18,
376,PART0377,brake,BMW,2010,85.0,274.21,23307.85,0.0
377,PART0378,tire,Honda,2000,38.0,102.9,3910.2000000000003,0.0
378,PART0379,brake,Toyota,2013,55.0,149.91,8245.05,
379,PART0380,suspension,Mercedes,2016,22.0,339.85,7476.700000000001,
380,PART0381,tire,BMW,2022,67.0,475.61,31865.870000000003,
381,PART0382,transmission,Audi,2005,57.0,83.45,4756.650000000001,1.0
382,PART0383,brake,BMW,2001,57.0,356.34,20311.379999999997,1.0
383,PART0384,tire,Toyota,2009,82.0,97.87,8025.34,
384,PART0385,tire,Toyota,2009,47.0,433.26,20363.22,1.0
385,PART0386,brake,Ford,2007,79.0,317.0,25043.0,0.0
386,PART0387,suspension,Ford,2013,30.0,370.02,11100.599999999999,0.0
387,PART0388,engine,Honda,2005,20.0,443.08,8861.6,
388,PART0389,brake,Volkswagen,2019,14.0,421.62,5902.68,0.0
389,PART0390,transmission,Honda,2022,49.0,443.78,21745.219999999998,1.0
390,PART0391,tire,Volkswagen,2011,35.0,166.25,5818.75,
391,PART0392,battery,Honda,2012,1.0,162.43,162.43,0.0
392,PART0393,tire,Mercedes,2005,13.0,54.26,705.38,1.0
393,PART0394,battery,Mercedes,2008,12.0,102.95,1235.4,
394,PART0395,suspension,BMW,2016,23.0,137.81,3169.63,0.0
395,PART0396,tire,Ford,2011,20.0,268.77,5375.4,1.0
396,PART0397,tire,Volkswagen,2017,85.0,441.02,37486.7,0.0
